"M_T","lia_080314_049_pos","lia_080314_050_pos","lia_080314_051_pos","lia_080314_052_pos","lia_080314_053_pos","lia_080314_054_pos","lia_080314_055_pos","lia_080314_056_pos","lia_080314_057_pos","lia_080314_058_pos","lia_080314_059_pos"
"162.0557_3.0987",0.12371107,0.685143792,1.85355515,0,0,0.284727953,0.879035506,0.020341974,0.334000355,0.199344014,0
"81.0703_3.4118",0.176078315,0.322971242,0.151359425,0.196602218,0.276136706,0.178786273,0.214392809,0.125059443,0.142034839,0.129263511,0.122518475
"132.0775_0.4051",0,0,0,0,0,0.191372614,0.506332985,0,0.319809123,0.21368882,0
"255.0669_3.3421",0.183701022,0.247657081,0.283559239,0.285278662,0.687263988,0.199435785,0.490787707,0.328956809,0.124925726,0.166601673,0.113028886
"76.0396_4.5039",0.211180734,0.358203625,0.216966877,0.156314368,0.274937262,0.133191418,0.180546024,0.193387451,0.101999228,0.14884873,0.101794828
"118.087_0.3094",0.218919631,0.323142974,0.334225986,0.211009955,0.312848798,0.282754233,0.231530658,0.266531373,0.054874127,0.196856465,0.1790787
"121.0296_3.2977",0.211116912,0.41802099,0.450370526,0.448474631,0.642867213,0.191660479,0.34526145,0.402747303,0.409646771,0.228731635,0.271194495
"279.1346_3.1917",0.251164762,0.386885648,0.738086333,0.266993088,0.530525087,0.020547652,0.223112785,0.335758324,0.275220066,0.121243525,0.159880082
"71.086_3.5655",0.152328133,0.26229249,0.133718321,0.108266283,0.185692565,0.25743688,0.184542369,0.141590816,0.127476064,0.170921497,0.143275274
"400.1301_3.5636",0.169015283,0.258609786,0.13416714,0.126851321,0.168648749,0.275471988,0.190933164,0.149641674,0.132092809,0.187826858,0.207937408
"459.169_4.9007",0.081697812,0.135164236,0.016636247,0.047952317,0.018160838,0.092187641,0.085193197,0.053673778,0.03889827,0.110376302,0.048197831
"212.8487_0.2745",0.123190671,0.241962655,0.276350698,0.244274832,0.345943038,0.16621617,0.226926376,0.298107005,0.234467747,0.162833847,0.21792271
"166.0808_1.7572",0.157157375,0.271827723,0.217557823,0.098760947,0.328335289,0.12786075,0.248808369,0.296813862,0.350527526,0.208836586,0.145171297
"200.1294_4.8856",0.165284117,0.215385035,0.126926184,0.094182333,0.239342193,0.161898196,0.16381098,0.194686851,0.128646075,0.178843548,0.123268359
"130.0877_0.3438",0.183084071,0.273378765,0.279494928,0.22367411,0.244155151,0.166377079,0.175658287,0.27067986,0.213748548,0.170547563,0.270057828
"165.0918_3.3989",0.127736802,0.169142701,0.024493083,0.099329473,0.079610105,0.104106726,0.163454796,0.082156295,0.062339328,0.178102803,0.030517925
"109.0656_3.3029",0.321097945,0.449080005,0.424860118,0.05901426,0.103249777,0.299472543,0.301801432,0.520068745,0.439560664,0.183772349,0.185726622
"243.1013_4.4552",0.144839617,0.255066103,0.317864018,0,0,0.016682881,0,0.696140594,0.770445074,0.265147428,0.264115586
"200.1299_2.8121",0.176022675,0.229273545,0.159622692,0.162934508,0.22343709,0.159426986,0.212020737,0.140981788,0.105803295,0.268872519,0.198498337
"203.1511_0.3316",0.256980799,0.297617555,0.343424294,0.207379899,0.287424059,0.258278331,0.326338953,0.173099705,0.320482951,0.355251185,0.48550513
"234.1504_2.9957",0.166765128,0.314850756,0.464525797,0.336861035,0.408912757,0.113672699,0.207326943,0.219876025,0.317628369,0.135643531,0.116934599
"113.9655_3.6878",0.021007448,0.078568897,0.047086163,0.092736695,0.009647606,0.058263864,0.128899373,0.056182892,0,0.023570283,0.132858985
"134.0614_2.57",0.207393928,0.285386398,0.371929326,0.143825028,0.371964247,0.238149929,0.359583395,0.267778631,0.273543663,0.258494971,0.325632942
"137.0722_0.3065",0.222717893,0.314706283,0.421267068,0.328735971,0.25309784,0.231149644,0.245751902,0.308984007,0.265845685,0.333057335,0.348817788
"113.9657_3.1285",0.06229902,0,0.018117351,0.024305265,0.071348474,0.016411254,0.078574892,0.015167316,0.021666643,0.021120127,0.022637035
"304.1758_2.3209",0.35256575,0.416298215,0.439361978,0.234564279,0.160951053,0.187884281,0.053850888,0.204660738,0.167454501,0.366219905,0.242907278
"196.8741_0.2613",0.159533539,0.217985553,0.278849127,0.225478497,0.241504662,0.203495419,0.221535134,0.265649116,0.218941109,0.186247434,0.234723277
"303.0719_1.8416",0.120583764,0.191759575,0.258273241,0.339527333,0.650382716,0.201217595,0.345136506,0.159730275,0.158751907,0.061754247,0.0822189
"104.1065_0.2986",0.267756996,0.241281178,0.287578668,0.180554268,0.265118307,0.198910247,0.21289721,0.222508197,0.196943678,0.153221972,0.262227457
"287.148_4.0836",0.300912008,0.499062287,0.471809142,0.513874933,0.830351352,0.309564054,0.440103312,0.632699415,0.592768801,0.425520435,0.358787303
"83.0498_2.2309",0.248782052,0.442488756,0.331615352,0.167786745,0.386344559,0.381345761,0.229992168,0.161269533,0.144634183,0.215467675,0.151481377
"112.8982_0.2863",0.150397091,0.197219572,0.313737371,0.245431647,0.277069366,0.13545448,0.187257571,0.226206169,0.215012486,0.115809023,0.189340275
"216.1235_2.6844",0.24679537,0.371781382,0.178565373,0.167756342,0.223142109,0.265562053,0.292322468,0.18767885,0.168026234,0.389343248,0.293468428
"228.1949_5.7372",0.172825,0.249145427,0.279794141,0.248277319,0.25659423,0.206774126,0.225841041,0.253330886,0.237287616,0.197253547,0.275103366
"126.0905_0.605",0.03862248,0.044593158,0.043094162,0.089366579,0.214732988,0.326303032,0.25490452,0.08678241,0.085449597,0.114028387,0.011344566
"218.14_4.1195",0.114982105,0.214469129,0.142662298,0.038717562,0.078423675,0.181108383,0.109363345,0.122581614,0.094883193,0.136865047,0.107034547
"146.1_0.346",0.272933171,0.307719776,0.152867957,0.212390228,0.435716966,0.364659928,0.101950619,0.173867248,0.183495699,0.126318339,0.147806154
"366.1559_2.805",0.232589118,0.331118986,0.321669011,0.244510452,0.325749869,0.08439462,0.165142474,0.342534811,0.280518807,0.157531112,0.153871535
"297.1444_1.716",0,0.006523102,0,0.077460967,1.009899208,0,0.553653215,0.123142671,0.068458914,0.010630399,0
"81.0703_3.3145",0.313920359,0.491192586,0.374178411,0.03367227,0.220482944,0.442860285,0.332647695,0.424912191,0.380237228,0.108782632,0.087771202
"170.1167_3.8748",0.41087504,0.525394575,0.909001825,0.406163495,0.993803235,0.274231954,0.454856035,0.19777788,0.185413047,0.11090337,0.104385482
"209.1298_3.3857",0.104354827,0.170701922,0.187868406,0.31684556,0.272338829,0.144618918,0.183430926,0.171785705,0.116378316,0.112420472,0.062696647
"176.0395_2.8946",0.106298961,0.29986643,0.208678675,0.298255962,0.269974645,0.329127061,0.310948456,0.161088076,0.173249425,0.088714861,0.134049328
"220.138_4.5096",0.138786291,0.226419518,0.228651147,0.067958671,0.096912028,0.126927772,0.14303297,0.094038611,0.093427315,0.180576107,0.086516132
"200.0923_2.9972",0.036347777,0.052023988,0.068267955,0.041604278,0.047008223,0.0311027,0.034227212,0.043193062,0.034861426,0.017662131,0.028702416
"229.1391_0.3492",0.12999514,0.137770206,0.171601189,0.140576522,0.197613259,0.128321334,0.151223333,0.090355239,0.106005444,0.125680871,0.207370653
"257.159_5.5",0.279731094,0.368891918,0.53456659,0.134351614,0.181252671,0.177654004,0.217477249,0.233512427,0.211136953,0.352984435,0.219848729
"216.0652_2.9983",0.155635452,0.182954886,0.197021833,0.220747871,0.231846211,0.159046119,0.180059302,0.302977149,0.217744554,0.103446065,0.203217083
"127.1128_3.1026",0.157787418,0.257890146,0.071469535,0.085987343,0.059603468,0.115631657,0.1466377,0.099058926,0.094725966,0.202846525,0.041169441
"116.0714_0.8263",0.102158676,0.009753305,0.242634372,0.37352643,0.191865471,0.020410363,0.135277115,0.035945204,0.062547602,0.019063492,0.030033263
"413.0442_2.6081",0.170100267,0.238574349,0.332924409,0.004291311,0.002468295,0,0,0.299911149,0.292782482,0.201475435,0.309140222
"285.0777_4.9065",0.054848143,0.25794739,0.474935919,0.183720686,0.078150384,0.195669921,0.196037222,0.08551221,0.240548537,0.06243267,0.045108307
"259.1016_3.1983",0.080545732,0.136990596,0.097972333,0.04737923,0.056948641,0.116673876,0.111627256,0.065697922,0.055372351,0.098900101,0.059957596
"86.0966_3.297",0.057900172,0.207722502,0.442523663,0.205832412,0.654833455,0.202298196,0.160948456,0.224439569,0.189257952,0.101366282,0.078212149
"198.1143_3.3899",0.111034924,0.205211939,0.171147382,0.096751343,0.150789399,0.200057278,0.145703416,0.151525074,0.124999234,0.146101208,0.123066285
"100.0762_1.7201",0.357727196,0.050137658,0.126125789,0.427840466,0.929662269,0.102437109,0.435344249,0.179352678,0.303330958,0.155080957,0.148233983
"196.096_3.5643",0.142754746,0.249338967,0.13637633,0.132013663,0.146332153,0.235399712,0.16769357,0.141993359,0.123888439,0.148982277,0.174674116
"143.1078_4.5104",0.116410749,0.190358457,0.160886868,0.059024901,0.071795283,0.105039703,0.118051619,0.080892352,0.072414082,0.138262847,0.089832989
"153.1281_5.2498",0.20060746,0.227479896,0.372353211,0.128240715,0.125922086,0.12484924,0.156582873,0.170323619,0.176559351,0.267602925,0.194453697
"410.181_5.0455",0.184697636,0.24387897,0.405850114,0.231834136,0.338097851,0.076820081,0.135748918,0.360453184,0.327543855,0.189659133,0.176503834
"95.0862_2.6917",0.182548943,0.268821044,0.148427137,0.12646825,0.211052235,0.17136231,0.223763613,0.133781901,0.112276131,0.266881768,0.205812472
"112.0538_2.1185",0.013653123,0,0,0.021258936,0.030432906,0.013303789,0.058531628,0.022354688,0.028427387,0.024423207,0
"113.9655_5.0016",0.054368656,0.09442824,0.063934353,0.050430119,0.080937518,0.056030328,0.073232135,0.09683764,0.066241406,0,0.067333301
"279.1352_2.1095",0.008437672,0.123320158,0.048253094,0,0.12419775,0.017513998,0.088027749,0.146502674,0.160467106,0.120801927,0.077883779
"141.0678_0.3397",0.151784823,0.196164645,0.281778921,0.171310393,0.130923745,0.120073634,0.11004028,0.149522789,0.146339172,0.174028707,0.136467903
"121.0303_1.9459",0.114082043,0.227886057,0.247142515,0.204692319,0.278273148,0.117637854,0.231254662,0.174501306,0.159086779,0.11538167,0.122715813
"122.9268_0.252",0.150791482,0.217661169,0.297664642,0.219923963,0.241261737,0.188563347,0.201693272,0.23549177,0.183420148,0.158008323,0.235556833
"172.0986_2.1915",0.086381407,0.191639635,0.17452849,0.048715419,0.067272968,0.160191674,0.108417873,0.084890667,0.066829474,0.117194358,0.062933453
"120.0818_1.7079",0.057530328,0.073223388,0.432153436,0.162680648,0.314436489,0.065726209,0.180221543,0.089005782,0.084632835,0.051841445,0.048368331
"166.0815_0.338",0.133307368,0.127458089,0.14170731,0.197407884,0.262849558,0.163073276,0.207382888,0.181963992,0.151403094,0.146699502,0.179972246
"204.1312_0.3524",0.114173686,0.174065694,0.185771421,0.120767784,0.123952656,0.118021674,0.099811651,0.133621301,0.131449609,0.202290967,0.218210034
"170.062_4.1326",0.152625972,0.183328336,0.424363923,0.003236344,0.011309042,0.052023838,0.022793898,0.33377481,0.379291827,0.29638335,0.347062269
"126.0867_0.3477",0.111373675,0.084794875,0.053666357,0.137996872,0.097330641,0.199243875,0.133304118,0.077098437,0.084822732,0.10886098,0.097816495
"151.1248_3.5112",0.080100611,0.136069238,0.083904332,0,0.059200038,0.079651492,0.067760704,0.09012581,0.076287574,0.089240149,0.065143638
"177.1649_4.3057",0.072076967,0.140804143,0.159630173,0.017783933,0.16085128,0.068802674,0.446740266,0.461539424,0.573272702,0.380083939,0.304498833
"460.1277_3.5202",0.05619169,0,0.033065538,0.031427047,0.030621607,0.026746344,0.037999776,0.045443548,0.037436267,0.048039787,0
"228.1604_5.3734",0.097648547,0.173275181,0.211299283,0.061647115,0.129808892,0.106977994,0.089737804,0.122168643,0.087536422,0.153403597,0.135500157
"160.0981_2.2956",0.226061214,0.350066785,0.23741061,0.214460637,0.498346156,0.238582464,0.313617037,0.283663432,0.133916229,0.215300295,0.188429363
"105.0707_3.8259",0.147706724,0.406762982,0.242183059,0,0.029760523,0.011981087,0.012973669,0.357383012,0.329079367,0.146355839,0.148971238
"175.0806_2.7923",0.128054279,0.182693199,0.161517708,0.036206317,0.050561006,0.057589227,0.058615545,0.084700867,0.05335495,0.126651318,0.09767599
"82.0144_0.2295",0,0.19201581,0.012953432,0,0,0,0,0.006738944,0.004990413,0,0.005681755
"175.1496_5.735",0.136343032,0.194918904,0.200889162,0.179984221,0.179710528,0.158920639,0.174819111,0.192663708,0.165028719,0.154728391,0.201848347
"311.1619_2.2936",0.240066179,0.408913725,0.251381367,0.158261647,0.129394617,0.15715802,0.147167313,0.098539583,0.105633817,0.095910413,0.06469055
"316.138_4.4161",0.08085339,0.089935941,0.086594756,0,0,0,0,0.555064949,0.580899214,0.130182319,0.250087223
