"M_T","lia_080314_039_pos","lia_080314_040_pos","lia_080314_041_pos","lia_080314_042_pos","lia_080314_043_pos","lia_080314_044_pos","lia_080314_045_pos","lia_080314_046_pos","lia_080314_047_pos","lia_080314_048_pos"
"76.0396_3.4083",0.28601346,0.381823454,0.185195343,0.387494164,0.326715414,0.301353816,0.313940902,0.181710006,0.276894185,0.168330558
"110.01_0.2267",1.030058354,0.006718035,0.004870137,0.009463739,0.012036975,0.031000552,0.011331134,0,0.011516438,0.011555831
"206.0821_4.1193",1.119723016,0.641066563,0,0,0.031615188,0.013100976,0.449241715,0.100530075,0.961877111,0.057810715
"250.179_5.7367",0.828792351,0.437369541,0.950219845,0.710889069,0.631833884,0.594988872,0.590165392,0.98763836,0.57625762,0.797626587
"83.0856_3.424",1.624777029,0.819427628,0.062453482,0.704304109,0.956362339,1.084109393,0.656149506,0.292499962,0.513650164,0.136668734
"435.127_4.9185",1.168766147,0.559555879,0.241883822,0.642586107,1.531613738,1.271225547,0.309384744,0.010178605,0.235166933,0.039914901
"316.2127_3.793",0.296163581,0.690224429,0.093570516,0.328426009,0.60292484,0.43773742,0.182872053,0.141296563,0.684826626,0.076445431
"382.0771_2.0059",0.351907686,0.351487154,0.234475363,0.314365596,0.355786885,0.348844068,0.221407668,0.226549205,0.314041386,0.234536907
"136.0406_1.1056",0.072584676,0.530523343,0.124542349,0.635326968,0.89646751,0.339918336,0.108478045,0.399638828,0.747817726,0.256627817
"226.1446_3.8968",0.202520955,0.410315892,0.143294742,0.224939567,0.756705175,0.32434903,0.12003228,0.128279632,0.272828028,0.104877412
"138.0565_0.3213",0.803853784,0.334635621,0.338016323,0.613145765,0.561143484,0.260599177,0.453881536,0.352748668,0.459738648,0.17407746
"252.1601_4.5941",0.73705978,0.3640843,0.141298502,0.390371141,1.148779915,0.659640293,0.373458549,0.159583763,0.571113942,0.088967604
"180.1283_3.5456",0,0,0,0,0,0,0.117944186,0,0,0.089919798
"76.0397_2.2925",0.437333923,0.499418951,0.151278626,0.47456237,0.316140279,0.400547216,0.408208405,0.199126024,0.452293104,0.345878359
"276.1279_3.1955",0.015588249,0.234037749,0.118240642,0.133975906,0.036577902,0.081492545,0.220285187,0.114768692,0.083674745,0.177640299
"461.1072_3.4627",0.786497551,0.218323966,0.106391194,0.309887895,1.036667817,0.862099838,0.362758375,0,0.448350092,0
"95.0859_4.4922",0.072718854,0.343467569,0.135376468,0.270068085,0.11340571,0.127332363,0.179692852,0.144506982,0.174283508,0.166301024
