"mz","rt","t.score","p.value","mode"
240.79383,1620.87,2.2138,0.0386,"negative"
241.21791,1236.91,-0.5575,0.5855,"negative"
241.03941,370.15,-2.6761,0.0135,"negative"
241.75872,1616.54,-4.3488,4e-04,"negative"
242.17679,537.8,-5.4513,0,"negative"
242.17681,510.71,2.5774,0.0171,"negative"
242.22168,1234.28,-0.4513,0.6589,"negative"
242.7908,1621.04,4.6167,4e-04,"negative"
242.79043,72.69,2.1331,0.0435,"negative"
242.88487,565.29,4.3091,4e-04,"negative"
242.88475,520.41,4.0032,5e-04,"negative"
242.88507,591.24,0.4996,0.6219,"negative"
242.88491,630.35,0.768,0.4544,"negative"
243.06258,268.1,-1.9572,0.0655,"negative"
243.03365,541.94,-0.7414,0.4676,"negative"
243.0626,147.45,-5.326,0,"negative"
243.75573,1616.54,-3.8314,0.0013,"negative"
244.82499,72.56,-2.4358,0.0262,"negative"
244.78815,1620.99,3.5875,0.0017,"negative"
244.90856,643.69,-0.8218,0.4187,"negative"
244.87855,1647.04,0.3387,0.7392,"negative"
244.879,1674.44,3.6511,0.0031,"negative"
244.87926,1661.15,3.9918,0.0025,"negative"
244.87767,1622.91,0.6141,0.5453,"negative"
245.04921,538.19,2.5112,0.0328,"negative"
244.88529,67.11,-4.3053,2e-04,"negative"
245.06762,522.91,1.8808,0.0815,"negative"
246.0759,469.42,0.5739,0.572,"negative"
246.00823,335.49,-1.8839,0.0709,"negative"
246.05247,537.57,2.1285,0.062,"negative"
246.57717,467.83,0.4663,0.6452,"negative"
246.82268,72.15,-4.2942,3e-04,"negative"
246.9056,643.66,-0.8997,0.3766,"negative"
246.87436,1623.29,-0.4894,0.6303,"negative"
246.87449,1645.97,3.0034,0.0142,"negative"
246.95132,531.16,-1.667,0.1132,"negative"
246.87476,1664.4,3.2744,0.0095,"negative"
246.87427,1677.75,7.8617,0,"negative"
246.9816,91.96,-3.1547,0.0042,"negative"
247.04542,386.54,-2.0352,0.0574,"negative"
247.1713,1094.41,-2.6671,0.0131,"negative"
247.01141,335.04,-2.0687,0.0493,"negative"
248.03343,339.36,-3.6052,0.0014,"negative"
248.05449,184.06,-2.9939,0.0071,"negative"
248.838,85.05,0.4432,0.6651,"negative"
248.96166,1623.09,-5.1873,0,"negative"
248.96134,1645.68,4.3998,5e-04,"negative"
248.96108,1672.03,2.492,0.0308,"negative"
248.90334,643.69,-0.9793,0.3365,"negative"
248.96084,108.76,0.1433,0.8885,"negative"
248.97782,73.34,0.2327,0.8203,"negative"
249.03753,340.69,-3.0181,0.0057,"negative"
249.18683,947.74,-6.5433,0,"negative"
250.14577,1125.09,-2.521,0.0182,"negative"
250.83358,71.14,-5.1795,1e-04,"negative"
250.82301,1622.84,3.8902,0.001,"negative"
250.83507,84.97,-0.6836,0.5046,"negative"
251.16626,1150.75,2.5436,0.0209,"negative"
251.14904,1124.22,-2.5101,0.0188,"negative"
251.99575,341.46,-2.5298,0.0194,"negative"
252.04715,104.12,-2.5939,0.0182,"negative"
252.83032,71.1,-5.2127,0,"negative"
252.81992,1622.54,1.9616,0.0666,"negative"
252.83105,84.44,-0.6975,0.4974,"negative"
252.91388,673.59,-0.0303,0.9764,"negative"
252.91375,634.1,-0.1674,0.8698,"negative"
253.21837,1186.67,-4.3479,2e-04,"negative"
253.08353,668.6,-0.8759,0.3924,"negative"
253.21825,1205,-6.6406,0,"negative"
253.99978,183.59,-3.8436,9e-04,"negative"
254.22161,1186.88,-4.3568,2e-04,"negative"
254.41698,1325.13,-0.7935,0.4385,"negative"
254.62383,565.88,-0.5757,0.5706,"negative"
254.81831,1622.76,-0.0889,0.9299,"negative"
254.9067,1645.59,2.7334,0.0156,"negative"
254.90675,1673.45,3.3791,0.0037,"negative"
254.90688,1660.31,7.3928,0,"negative"
254.90662,1622.91,-2.5868,0.017,"negative"
255.0879,345.46,1.2916,0.2279,"negative"
254.99532,455.26,0.4331,0.6686,"negative"
254.98053,73.3,-2.6635,0.0132,"negative"
255.12512,565.8,-0.5531,0.5854,"negative"
255.23381,1322.59,-1.1916,0.2456,"negative"
255.23362,1367.59,-2.9208,0.0074,"negative"
255.23324,1396.55,0.5668,0.5812,"negative"
255.23371,1298.72,-1.5705,0.1352,"negative"
255.63158,605.56,-1.3432,0.1956,"negative"
255.62482,565.48,-0.2907,0.774,"negative"
256.13323,606.01,-1.31,0.2065,"negative"
256.23719,1322.37,-0.3751,0.7132,"negative"
256.23697,1366.99,-2.7557,0.0108,"negative"
256.2371,1297.95,-2.8532,0.0085,"negative"
256.90366,1623,-4.8213,2e-04,"negative"
256.9038,949.66,2.8397,0.0093,"negative"
256.99086,97.28,-0.5162,0.6112,"negative"
257.17606,565.08,2.6665,0.0254,"negative"
257.24007,1322.9,-1.7529,0.0919,"negative"
258.05659,489.14,-1.1721,0.2527,"negative"
258.04424,368.35,-3.5243,0.0025,"negative"
258.84887,87.16,1.1412,0.2692,"negative"
258.91639,1625.5,-3.0153,0.0061,"negative"
258.86765,86.73,-1.476,0.1539,"negative"
259.01101,467.38,-0.6496,0.5233,"negative"
259.02325,73.64,-4.7442,1e-04,"negative"
259.51223,467.48,-0.7419,0.4652,"negative"
260.02395,352.15,-2.4193,0.0249,"negative"
260.01082,467.7,-0.4047,0.6893,"negative"
260.86246,67.12,-3.4069,0.0026,"negative"
260.85348,1677.73,4.9268,6e-04,"negative"
260.85358,1662.28,4.1943,0.0012,"negative"
260.85535,1652.71,4.2624,7e-04,"negative"
260.85161,1622.78,2.7191,0.0192,"negative"
260.8541,1637.43,4.6819,3e-04,"negative"
260.97923,85.66,-2.2719,0.032,"negative"
261.04177,370.61,-1.504,0.1476,"negative"
261.02701,351.96,-2.373,0.028,"negative"
261.01577,585.55,10,0,"negative"
262.90064,83.96,-2.1076,0.0508,"negative"
263.10377,367.65,-2.3876,0.0276,"negative"
263.16606,979.67,-3.1088,0.0046,"negative"
263.62909,565.51,-3.4613,0.0025,"negative"
263.62912,514.26,-1.676,0.1111,"negative"
264.02827,184.27,-3.1106,0.0074,"negative"
264.13066,571.35,-3.3722,0.0032,"negative"
264.13061,562.77,-3.8247,9e-04,"negative"
264.10764,364.42,-2.5547,0.0188,"negative"
264.16853,979.53,-2.1215,0.0436,"negative"
264.30021,836.37,-1.375,0.1858,"negative"
264.63005,565.08,-3.1958,0.0049,"negative"
264.93513,1622.78,-1.1672,0.2605,"negative"
264.93527,1646.32,3.5703,0.0052,"negative"
264.93528,1673.87,2.6343,0.0218,"negative"
264.93542,1657.8,15.0281,0,"negative"
264.89829,83.93,-1.3922,0.1872,"negative"
265.14861,836.81,-1.2203,0.2357,"negative"
265.14827,1606.9,8.1283,0,"negative"
265.14877,820.31,-2.3379,0.0314,"negative"
266.01876,478.78,-1.2292,0.2307,"negative"
266.08962,344.7,1.9168,0.0858,"negative"
266.15192,836.53,-1.4174,0.1711,"negative"
266.15182,1606.67,4.3243,4e-04,"negative"
266.15173,819.95,-2.1028,0.0501,"negative"
266.52009,478.78,-1.1127,0.2762,"negative"
266.80446,80.85,-2.3508,0.0339,"negative"
266.7999,1621.3,1.7302,0.117,"negative"
267.07404,330.21,-0.63,0.5371,"negative"
267.01842,478.76,-0.8345,0.4117,"negative"
266.89508,86.74,-1.3358,0.1951,"negative"
267.14623,836.97,-1.2704,0.2179,"negative"
267.12439,562.35,-3.159,0.0057,"negative"
267.12418,508.55,2.5886,0.0276,"negative"
267.12404,550.12,-3.6949,0.0017,"negative"
267.15599,870.76,2.0128,0.0726,"negative"
267.23393,1286.09,-4.2508,3e-04,"negative"
267.74852,1616.04,10,0,"negative"
267.96916,341.32,-2.2756,0.0342,"negative"
268.07697,330.51,-0.4861,0.6334,"negative"
268.1493,836.53,-2.6185,0.0171,"negative"
268.11757,184.76,-2.843,0.0086,"negative"
268.12765,510.57,2.5652,0.0282,"negative"
268.2372,1286.21,-3.6074,0.0016,"negative"
268.80134,80.86,-2.1273,0.0536,"negative"
268.73974,1615.17,4.4865,0.0015,"negative"
268.89587,89.6,-0.0302,0.9764,"negative"
269.061,343.3,-2.453,0.0249,"negative"
269.07848,588.36,-0.8992,0.3805,"negative"
269.08825,86.26,-1.9187,0.0668,"negative"
269.24913,1372.92,-3.6866,0.0012,"negative"
269.24906,1386.22,-1.3266,0.2058,"negative"
270.0917,86.29,-2.064,0.0497,"negative"
270.25259,1372.92,-2.4329,0.028,"negative"
270.25231,1387.9,-1.9266,0.0715,"negative"
270.79828,80.84,-2.1019,0.0562,"negative"
270.88036,1622.83,0.9316,0.3601,"negative"
270.88312,1645.59,-0.3648,0.719,"negative"
270.88214,1674.56,3.5234,0.0025,"negative"
270.88234,1661.79,2.375,0.0401,"negative"
270.88919,66.84,-2.4001,0.0297,"negative"
270.96809,461.79,1.4856,0.1552,"negative"
271.07055,370.93,-0.7443,0.4674,"negative"
271.09061,87.84,0.1667,0.8695,"negative"
272.07341,371.67,-0.3454,0.7344,"negative"
272.7954,80.84,-2.4222,0.0303,"negative"
272.82739,610.83,-8.8998,0,"negative"
272.82737,592.66,-9.4823,0,"negative"
272.82733,628.24,-8.3202,0,"negative"
272.82718,580.2,-10.3537,0,"negative"
272.87792,1119.92,1.0537,0.3042,"negative"
272.87787,1144.53,0.8985,0.3772,"negative"
272.8778,1165.01,0.5303,0.601,"negative"
272.87837,1184.28,1.5646,0.1343,"negative"
272.99082,84.67,-3.8858,0.0011,"negative"
274.10485,75.54,-1.8098,0.0874,"negative"
274.7931,81.52,-2.6043,0.0189,"negative"
274.86773,72.56,-3.4407,0.0023,"negative"
274.98848,81.66,-5.3678,0,"negative"
276.00098,387.2,-3.0168,0.0078,"negative"
276.83331,84.84,-1.7915,0.0927,"negative"
276.83464,1637.43,1.816,0.1025,"negative"
276.82976,1622.52,0.2441,0.8118,"negative"
276.83569,1654.23,4.4478,2e-04,"negative"
276.83466,1676.86,3.7312,0.0034,"negative"
276.83505,1668.38,5.2697,1e-04,"negative"
276.84749,71.44,-2.7286,0.0126,"negative"
277.01558,370.84,-1.0637,0.3024,"negative"
276.90903,94.87,-1.3203,0.2011,"negative"
276.95797,387.92,-2.6938,0.0154,"negative"
277.04931,462.44,-0.2182,0.831,"negative"
277.07038,338.35,1.1643,0.2735,"negative"
277.18128,717.69,-2.3203,0.0313,"negative"
277.21832,1133.69,-4.5751,1e-04,"negative"
277.14521,747.96,-0.7113,0.4847,"negative"
277.21831,1148.61,-4.8286,1e-04,"negative"
277.99733,385.79,-2.6534,0.0167,"negative"
278.01881,371.38,-0.7072,0.4878,"negative"
278.1847,717.64,-2.6501,0.0155,"negative"
278.22168,1133.59,-3.5973,0.0016,"negative"
278.33953,1250.91,-2.773,0.0151,"negative"
278.83008,84.69,-1.9857,0.0635,"negative"
278.92483,1645.61,-1.2579,0.2306,"negative"
279.01291,370.32,-1.8635,0.0758,"negative"
278.92419,97.07,-1.7202,0.1029,"negative"
279.09923,330.9,-3.5455,0.0024,"negative"
279.23389,1248.8,-3.792,9e-04,"negative"
279.23366,1306.74,-3.5506,0.0024,"negative"
279.23395,1624.36,-4.6537,1e-04,"negative"
279.23393,1358.82,-5.8821,0,"negative"
279.23424,1210.08,-8.3401,0,"negative"
279.23429,1330.28,-5.9076,0,"negative"
279.61514,577.85,-1.522,0.1428,"negative"
279.9936,338.21,-2.888,0.01,"negative"
280.11658,577.75,-1.4442,0.1626,"negative"
280.23711,1248.98,-3.8139,8e-04,"negative"
280.2373,1211.5,-4.7001,2e-04,"negative"
280.35086,1348.63,-4.3809,3e-04,"negative"
280.62279,617.95,-1.1162,0.2753,"negative"
280.82705,84.61,-2.4888,0.0229,"negative"
280.82546,1622.82,-0.6538,0.5199,"negative"
280.9108,1647.04,3.659,0.0029,"negative"
280.91016,1672.07,3.4049,0.0032,"negative"
280.92155,99.93,-0.5785,0.5761,"negative"
280.9093,1622.83,-3.9072,7e-04,"negative"
280.92168,91.38,-0.7025,0.4964,"negative"
281.10107,345.35,-1.4651,0.1569,"negative"
281.14013,774.37,-1.2335,0.2344,"negative"
281.1398,764.15,1.7009,0.1169,"negative"
281.2402,1248.41,-5.0662,0,"negative"
281.24932,1382.09,-4.7201,1e-04,"negative"
281.24898,1395.99,-4.7562,1e-04,"negative"
281.24953,1625.41,-7.4149,0,"negative"
281.24939,1347.83,-6.0961,0,"negative"
282.08506,331.22,1.0722,0.3067,"negative"
282.14304,766.37,1.0785,0.3017,"negative"
282.25289,1347.87,-2.2824,0.0322,"negative"
282.25296,1382.02,-6.5075,0,"negative"
282.10389,346.3,-2.0782,0.0478,"negative"
282.24232,1249.74,-4.3882,2e-04,"negative"
282.77965,11.28,1.7078,0.101,"negative"
282.95819,87.13,-1.8692,0.0803,"negative"
282.7785,77.75,-2.3932,0.0263,"negative"
282.90568,1621.47,-1.5985,0.1249,"negative"
282.78379,1663.33,-3.2779,0.003,"negative"
283.16432,184.28,-2.4439,0.0222,"negative"
283.17117,1160.41,1.2556,0.2266,"negative"
283.25578,1348.6,-5.154,0,"negative"
283.10376,90.98,-2.9183,0.0096,"negative"
283.26484,1445.31,1.0129,0.326,"negative"
283.26467,1395.72,1.1371,0.2703,"negative"
283.24397,1185.63,-4.0244,5e-04,"negative"
283.26403,1371.29,1.881,0.0772,"negative"
283.26345,1382.76,2.0495,0.0569,"negative"
284.10739,91.22,-2.617,0.018,"negative"
284.25917,1348.14,-4.6279,2e-04,"negative"
284.26817,1444.18,1.2284,0.242,"negative"
284.26796,1372.22,1.4635,0.1589,"negative"
284.26786,1396.84,1.9847,0.0763,"negative"
284.77537,78.01,-1.7938,0.0926,"negative"
284.77539,7.33,1.0453,0.3104,"negative"
284.77536,1621.58,0.8751,0.4032,"negative"
284.86777,1672.38,1.8233,0.0844,"negative"
284.95457,87.7,-3.9054,6e-04,"negative"
284.86905,1647.54,-1.3631,0.1894,"negative"
285.16151,1116.2,-2.1507,0.045,"negative"
285.11881,90.09,-1.4743,0.1587,"negative"
286.06003,81.75,0.2372,0.8161,"negative"
286.77257,77.8,-2.1128,0.0502,"negative"
286.86197,86.72,-0.8721,0.3967,"negative"
286.86435,1645.25,-0.8956,0.3815,"negative"
286.94491,1088.66,-3.6392,0.0015,"negative"
286.86418,1675.04,-0.0719,0.9433,"negative"
286.93779,101.27,-3.5942,0.0014,"negative"
286.86384,1661.47,2.7365,0.0207,"negative"
286.86148,7.89,4.2685,2e-04,"negative"
286.86341,32.38,3.7509,0.0034,"negative"
286.86272,44.1,1.5824,0.1288,"negative"
286.85878,1622.89,-2.8929,0.0076,"negative"
287.04449,370.51,-0.7086,0.4884,"negative"
286.86485,66.2,-1.8604,0.0854,"negative"
288.04779,371.63,-0.6923,0.4966,"negative"
287.97194,341.73,-2.6503,0.0141,"negative"
288.62048,575.13,-4.3165,4e-04,"negative"
288.76968,77.78,-1.6842,0.1149,"negative"
288.85907,86.42,-0.7099,0.4873,"negative"
288.94278,1088.9,-5.8276,0,"negative"
288.95317,103.7,-1.6453,0.1169,"negative"
288.9121,532.62,-2.1686,0.0399,"negative"
288.85581,1623.29,3.0345,0.0056,"negative"
288.85893,1640.66,4.5353,0.001,"negative"
288.85878,1675.48,4.7994,7e-04,"negative"
288.85858,1661.79,5.5554,2e-04,"negative"
288.80053,627.4,-5.3406,0,"negative"
288.85938,1651.83,7.8297,0,"negative"
289.04377,370.72,0.0752,0.9412,"negative"
288.93218,70.44,0.2474,0.8068,"negative"
289.18216,1194.2,2.0268,0.0531,"negative"
289.12182,575,-4.4176,3e-04,"negative"
289.10616,510.5,2.4326,0.0355,"negative"
289.62112,574.3,-4.2185,5e-04,"negative"
289.99427,340.43,-2.5557,0.0172,"negative"
290.08995,400.93,-2.7449,0.0138,"negative"
290.18499,1195.03,1.5,0.149,"negative"
290.84272,71.52,-3.698,0.0014,"negative"
290.85579,86.3,-1.4186,0.174,"negative"
291.042,343,-2.2396,0.0386,"negative"
291.19757,1171.19,-0.8895,0.3868,"negative"
291.21045,1324.26,-0.9494,0.3558,"negative"
292.07271,79.62,-0.0445,0.9649,"negative"
292.03928,105.01,-2.997,0.0078,"negative"
291.9967,349.32,10,0,"negative"
292.20066,1171.84,-1.1862,0.2526,"negative"
292.21393,1323.55,-0.8556,0.4063,"negative"
292.14722,571.8,-2.6644,0.0163,"negative"
292.23786,627.67,-2.6319,0.0182,"negative"
292.81325,67.2,-2.5501,0.0189,"negative"
292.8086,1631.8,-0.0413,0.9675,"negative"
292.81823,79.1,-5.3531,0,"negative"
292.80982,1669.68,0.9523,0.3598,"negative"
292.80973,34.28,2.0858,0.0569,"negative"
292.8095,47.52,4.8882,3e-04,"negative"
292.80775,9.05,1.7331,0.095,"negative"
292.80847,21.64,2.3918,0.0243,"negative"
293.04955,92.42,-3.3091,0.0027,"negative"
293.05273,370.47,-1.4412,0.1661,"negative"
292.88355,1648.45,-7.2878,0,"negative"
293.1765,625.85,-3.646,0.0016,"negative"
293.17995,934.72,0.2431,0.8103,"negative"
293.1788,1608.8,5.6649,0,"negative"
293.15038,571.52,-3.0448,0.0073,"negative"
293.115,331.91,-5.7515,0,"negative"
293.09932,76.36,-2.1597,0.0441,"negative"
293.17961,914.45,-2.4136,0.0233,"negative"
293.2079,1322.85,-1.1015,0.2863,"negative"
293.82002,1604.65,10,0,"negative"
294.17983,626.06,-4.3666,3e-04,"negative"
294.18317,934.93,-0.1006,0.9207,"negative"
294.11359,407.96,-0.3381,0.738,"negative"
294.21033,1325.4,-1.0252,0.3217,"negative"
294.80466,1624.21,-0.8904,0.3944,"negative"
294.8059,1646.35,0.0154,0.9879,"negative"
294.80489,1635.28,1.4029,0.1755,"negative"
294.90997,87.76,-1.8261,0.0803,"negative"
294.81464,78.9,-4.0469,4e-04,"negative"
294.80793,1661.48,1.359,0.1897,"negative"
294.80601,1676.92,1.6528,0.1118,"negative"
294.89812,57.06,-2.5518,0.0276,"negative"
294.85004,4.15,0.514,0.6146,"negative"
294.89873,1646.46,1.5037,0.1477,"negative"
295.18234,626.15,-4.8523,1e-04,"negative"
295.17837,934.61,0.2315,0.8193,"negative"
295.19006,1117.18,-3.7329,0.0013,"negative"
295.26491,1399.01,-5.7971,0,"negative"
295.22898,835.25,-6.3928,0,"negative"
295.81935,1604.56,2.5578,0.0308,"negative"
296.04636,398.35,-3.0087,0.0079,"negative"
296.13556,103.34,-4.3645,3e-04,"negative"
296.19317,1119.88,-3.8664,7e-04,"negative"
296.18456,626.6,-3.845,7e-04,"negative"
296.26836,1397.97,-5.3944,0,"negative"
296.89093,87.73,-1.5301,0.1432,"negative"
296.89237,1645.33,1.8726,0.0873,"negative"
296.89254,1669.86,2.2333,0.0492,"negative"
296.8891,1622.91,-4.7833,1e-04,"negative"
297.07524,345.44,-1.204,0.2407,"negative"
297.15353,840.75,-0.2671,0.7917,"negative"
297.13471,561.74,-0.4712,0.6464,"negative"
297.24433,859.09,-3.1199,0.005,"negative"
298.06235,394.54,-2.3697,0.0299,"negative"
298.00095,341.32,-2.3947,0.0255,"negative"
298.11505,87.83,-1.4846,0.1529,"negative"
298.156,839.62,-0.7555,0.4583,"negative"
298.75219,73.17,0.9566,0.3481,"negative"
298.75519,7.96,1.1856,0.2602,"negative"
298.82855,56.23,-17.0975,0,"negative"
298.75286,1621.09,-1.6552,0.1101,"negative"
298.88837,89.66,0.7482,0.4672,"negative"
298.99758,370.32,-2.589,0.0156,"negative"
299.22393,1186.5,-4.4912,1e-04,"negative"
299.2027,1069.94,0.7553,0.4604,"negative"
299.26004,961.69,-4.9517,0,"negative"
299.25968,953.35,-0.1131,0.9118,"negative"
300.04692,340.31,-3.3691,0.0025,"negative"
300.74937,73.64,2.5459,0.0218,"negative"
300.74982,1621.02,0.3067,0.7622,"negative"
300.74882,10.55,0.1018,0.9202,"negative"
300.84066,58.43,-0.4325,0.6704,"negative"
300.75123,33.26,0.427,0.673,"negative"
300.75031,42.91,4.7177,1e-04,"negative"
300.84353,1646.9,4.4232,2e-04,"negative"
301.16706,1155.23,-3.3088,0.005,"negative"
301.21823,1117.69,-3.0234,0.0056,"negative"
301.23924,1323.24,-1.446,0.1685,"negative"
302.0665,344.77,1.6014,0.1399,"negative"
302.05197,72.45,-2.498,0.0191,"negative"
302.16929,1155.13,-2.1672,0.0481,"negative"
302.22181,1118.07,-3.2462,0.0032,"negative"
302.24281,1322.55,-0.6189,0.5467,"negative"
302.2614,1227.92,-3.0833,0.0063,"negative"
302.66144,514.77,-1.5266,0.1433,"negative"
302.74792,1621.58,0.6534,0.5231,"negative"
302.78193,72.81,0.0435,0.9659,"negative"
302.83868,1644.57,2.334,0.0412,"negative"
302.83958,1677.67,0.9991,0.3281,"negative"
302.83922,1663.5,1.6322,0.1205,"negative"
302.83885,85.64,0.5549,0.5862,"negative"
302.91238,1649.97,-4.202,5e-04,"negative"
303.05073,331.28,-0.8979,0.3816,"negative"
303.06864,344.66,1.0124,0.3331,"negative"
303.14545,593.62,-2.6194,0.0154,"negative"
303.16283,515.34,-1.1678,0.2569,"negative"
303.23409,1226.03,-4.2393,3e-04,"negative"
303.92226,81.43,-5.8509,0,"negative"
303.94623,342.28,-1.2828,0.2109,"negative"
304.14943,593.16,-2.6961,0.0131,"negative"
304.23756,1225.61,-4.0127,6e-04,"negative"
304.77672,72.81,-0.7017,0.4973,"negative"
304.83323,1623.19,-5.6801,0,"negative"
304.83508,1673.79,-0.4935,0.626,"negative"
304.8353,1645.61,1.8933,0.0767,"negative"
304.93876,89.6,-2.0262,0.0551,"negative"
304.83454,1660.86,1.9036,0.0789,"negative"
305.0537,331.92,-4.0472,5e-04,"negative"
304.89784,71.19,-5.9108,0,"negative"
305.2495,1301.6,-4.8102,1e-04,"negative"
305.24039,1226.82,-4.7302,1e-04,"negative"
305.2496,1323.12,-5.2397,0,"negative"
305.22659,1369.6,-4.1215,4e-04,"negative"
305.94382,340.83,-2.5858,0.017,"negative"
306.25274,1301.82,-4.7767,1e-04,"negative"
306.25352,1323.48,-4.6261,2e-04,"negative"
306.28192,1372.48,-4.1122,6e-04,"negative"
306.79741,83.52,1.2979,0.2181,"negative"
306.92,1623.02,-9.462,0,"negative"
306.92011,1644.08,7.917,0,"negative"
306.91986,1671.18,2.8627,0.0165,"negative"
306.93766,73.36,-2.0045,0.0558,"negative"
307.04864,424.76,-2.3936,0.0245,"negative"
306.91978,94.06,-0.3118,0.758,"negative"
307.19264,1091.06,-0.9474,0.3529,"negative"
307.11519,79.2,-1.5391,0.1363,"negative"
307.22869,1207.45,0.5319,0.6007,"negative"
307.25654,1300.97,-4.6123,1e-04,"negative"
307.26516,1371.68,-6.2315,0,"negative"
307.54988,424.54,-2.7364,0.0128,"negative"
308.0499,424.21,-2.2554,0.0334,"negative"
308.09916,90.17,-2.7003,0.0126,"negative"
308.15949,189.02,-3.2219,0.0049,"negative"
308.26841,1372.03,-5.9223,0,"negative"
308.78196,1622.97,1.8893,0.0717,"negative"
308.84622,670.03,1.5361,0.1521,"negative"
308.79223,70.8,-3.6245,0.0012,"negative"
308.78451,1656.03,-0.4474,0.6583,"negative"
308.85408,5.42,-4.1355,3e-04,"negative"
308.7837,1636.72,-0.2323,0.8182,"negative"
308.85665,57.03,-3.9044,7e-04,"negative"
308.78335,1672.22,-0.0952,0.9249,"negative"
308.79397,83.91,-1.0114,0.3215,"negative"
308.85496,18.05,-4.7183,2e-04,"negative"
308.91703,100.22,-1.1136,0.2826,"negative"
308.81995,38.09,0.6698,0.5159,"negative"
308.85806,601.72,-9.5689,0,"negative"
308.93059,345.59,-0.5172,0.6146,"negative"
309.02663,371.06,-1.1226,0.2768,"negative"
309.17486,890.79,-0.5604,0.5835,"negative"
309.17146,639.79,-3.0637,0.0056,"negative"
309.27244,1371.64,-2.6582,0.0161,"negative"
309.28089,1461.34,-5.2906,0,"negative"
309.66916,563.14,-1.1052,0.2809,"negative"
310.17546,639.84,-2.9558,0.0071,"negative"
310.17817,890.37,-0.322,0.7529,"negative"
310.77871,1622.26,-0.1087,0.9143,"negative"
310.77957,1635.58,0.8298,0.4269,"negative"
310.7802,1654.21,7.5012,0,"negative"
310.84128,667.33,-1.4576,0.1602,"negative"
310.78966,69.73,-5.0995,0,"negative"
310.86873,4.24,-0.5311,0.6036,"negative"
310.78891,82.18,-0.6315,0.5384,"negative"
310.87118,53.45,-2.3971,0.0316,"negative"
310.86907,18.92,-3.4993,0.0019,"negative"
310.87105,34.08,-3.6284,0.0043,"negative"
310.77995,1669.51,1.8174,0.0842,"negative"
310.87216,1649.52,-0.8707,0.3956,"negative"
311.07164,346.99,-1.9549,0.0672,"negative"
311.16947,888.75,-0.0679,0.9464,"negative"
311.22354,618.54,-4.3876,3e-04,"negative"
311.22313,604.56,0.7586,0.4551,"negative"
311.10552,497.74,-2.0206,0.0594,"negative"
311.16408,1116.19,-2.77,0.011,"negative"
311.17701,1184.63,-3.2686,0.0034,"negative"
311.66672,537.46,-0.4421,0.6638,"negative"
311.66701,553.56,-1.4978,0.1525,"negative"
311.8939,76.72,-3.1053,0.007,"negative"
312.09529,345.59,1.6893,0.1221,"negative"
312.16869,537.37,-0.6342,0.5336,"negative"
312.16884,553.15,-1.394,0.1813,"negative"
312.17255,890.04,-0.4744,0.6394,"negative"
312.10068,439.88,-2.4514,0.0253,"negative"
312.22711,618.96,-3.0358,0.0072,"negative"
312.66994,552.14,-1.3564,0.1927,"negative"
312.82394,71.2,-4.0824,6e-04,"negative"
312.83736,667.25,-1.2925,0.2124,"negative"
312.77674,1622.83,-1.5503,0.1367,"negative"
312.86691,1644.87,2.5842,0.0228,"negative"
312.86758,1673.45,1.7064,0.1081,"negative"
312.75188,81.46,-2.2373,0.0344,"negative"
312.86711,1658.41,3.8146,0.0021,"negative"
312.86539,1623.09,-7.6649,0,"negative"
313.09809,343.85,1.242,0.2328,"negative"
313.19243,1322.48,0.2677,0.7919,"negative"
313.11975,760.4,2.4638,0.0359,"negative"
313.11949,791.5,2.2004,0.0553,"negative"
313.16869,889.76,0.1274,0.9,"negative"
313.23893,990.38,-5.8547,0,"negative"
313.239,659.37,-3.3862,0.0023,"negative"
313.89095,75.44,-1.8569,0.0817,"negative"
314.05636,438.02,-1.8059,0.0828,"negative"
313.97491,341.1,-2.3555,0.0269,"negative"
314.19593,1322.3,0.1739,0.8639,"negative"
314.10431,563.52,2.3214,0.0454,"negative"
314.55838,437.66,-1.5928,0.1234,"negative"
314.72665,1620.87,4.7256,1e-04,"negative"
314.72688,71.14,0.7379,0.4674,"negative"
314.86261,1645.61,0.7437,0.4712,"negative"
314.86263,1672.03,3.2402,0.0072,"negative"
314.86901,88,-3.2079,0.0036,"negative"
314.86229,1660.62,4.3165,0.0017,"negative"
314.86247,1623,-4.0674,4e-04,"negative"
315.08542,334.92,-3.4726,0.0026,"negative"
315.21049,1249.69,-2.5112,0.0208,"negative"
315.18974,1322.05,1.3843,0.1879,"negative"
315.12839,520.54,-3.3932,0.0034,"negative"
315.25567,1370.08,-3.2312,0.0051,"negative"
315.8918,72.86,-2.2949,0.0323,"negative"
316.02108,340.48,-2.2862,0.0324,"negative"
316.20895,1349.07,-4.9649,1e-04,"negative"
316.19454,1321.08,0.9206,0.3735,"negative"
316.11721,343.24,-3.1419,0.0043,"negative"
316.72374,1620.8,3.1929,0.0039,"negative"
316.72344,71.24,0.8741,0.3973,"negative"
316.82445,85.54,0.6747,0.5127,"negative"
316.94823,108.82,-1.445,0.1653,"negative"
316.90278,97.06,0.331,0.7454,"negative"
316.94863,1644.02,5.997,0,"negative"
316.94836,1670.93,6.9008,0,"negative"
316.94848,1622.83,-1.6005,0.1261,"negative"
316.85051,78.17,-3.1404,0.0061,"negative"
317.12021,342.73,-2.5005,0.0194,"negative"
317.22633,1347.95,-6.5872,0,"negative"
318.22999,1348.13,-5.1509,0,"negative"
